Address,Community,STR-legal,Side,Beds,Baths,Price,Est Annual Airbnb,Monthly Cash Flow,Cash-on-Cash,Cap Rate,Clears Floor,Miles to Disney,Pool,Listing Link,First Seen,Latitude,Longitude,Target Buy Price
"321 Rosso Dr, Davenport, FL 33837",Davenport,Verify HOA,US-27,7,4.5,455000,82783,1251,9.3%,9.3%,Yes,10.9,Verify,https://www.zillow.com/homes/321-Rosso-Dr-Davenport-FL-33837_rb/,,28.227883,-81.567309,"$497,647"
"3937 Lana Ave, Davenport, FL 33897",Davenport,Verify HOA,US-27,7,5.5,659000,107819,1188,6.5%,8.2%,Yes,7.7,Verify,https://www.zillow.com/homes/3937-Lana-Ave-Davenport-FL-33897_rb/,,28.317185,-81.665073,"$690,833"
"391 Cabello Dr, Davenport, FL 33837",Davenport,Verify HOA,US-27,6,5,565000,93022,1175,7.3%,8.5%,Yes,10.6,Verify,https://www.zillow.com/homes/391-Cabello-Dr-Davenport-FL-33837_rb/,,28.231283,-81.566116,"$594,636"
"16004 Magnolia Hill St, Clermont, FL 34714",Clermont,Verify HOA,US-27,5,4,418000,73167,1157,9.1%,9.3%,Yes,7.6,Verify,https://www.zillow.com/homes/16004-Magnolia-Hill-St-Clermont-FL-34714_rb/,2026-08-15,28.388431,-81.689505,"$444,656"
"384 Famagusta Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,5,5,395000,68724,781,6.4%,8.4%,Yes,9.0,Verify,https://www.zillow.com/homes/384-Famagusta-Dr-Davenport-FL-33896_rb/,,28.256535,-81.587643,"$357,929"
"7511 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,7,5.5,660000,89690,524,2.9%,6.9%,Yes,10.7,Verify,https://www.zillow.com/homes/7511-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.232679,-81.597313,"$579,455"
"5244 Oakbourne Ave, Davenport, FL 33837",Davenport,Verify HOA,US-27,6,5,550000,77915,513,3.3%,7.1%,Yes,10.3,Verify,https://www.zillow.com/homes/5244-Oakbourne-Ave-Davenport-FL-33837_rb/,2026-08-09,28.239183,-81.599168,"$467,663"
"7180 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,7,5.5,654000,88278,503,2.8%,6.9%,Yes,10.6,Verify,https://www.zillow.com/homes/7180-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.234662,-81.599097,"$569,990"
"7147 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,405000,66689,483,3.9%,7.4%,No,10.6,Verify,https://www.zillow.com/homes/7147-Oakmoss-Loop-Davenport-FL-33837_rb/,2026-08-14,28.234746,-81.59822,"$317,497"
"7160 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4.5,440000,70084,462,3.5%,7.3%,No,10.6,Verify,https://www.zillow.com/homes/7160-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.234514,-81.59874,"$349,078"
"283 Willow View Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,7,4.5,465000,65897,438,3.2%,7.1%,No,9.6,Verify,https://www.zillow.com/homes/283-Willow-View-Dr-Davenport-FL-33896_rb/,,28.252302,-81.608822,"$369,952"
"7656 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,6,5.5,599900,83137,423,2.5%,6.8%,No,10.4,Verify,https://www.zillow.com/homes/7656-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.236362,-81.593048,"$502,308"
"4718 Harrington Fields Dr, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,455290,71833,414,3.1%,7.1%,No,15.3,Verify,https://www.zillow.com/homes/4718-Harrington-Fields-Dr-Davenport-FL-33837_rb/,2026-08-09,28.172229,-81.635544,"$356,084"
"7163 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4.5,444000,70083,353,2.7%,6.9%,No,10.6,Verify,https://www.zillow.com/homes/7163-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.234922,-81.598541,"$334,511"
"392 Famagusta Dr, Davenport, FL 33896",Davenport,Verify HOA,SR-429,5,4,410000,60684,252,2.0%,6.7%,No,9.0,Verify,https://www.zillow.com/homes/392-Famagusta-Dr-Davenport-FL-33896_rb/,,28.256397,-81.587639,"$283,416"
"5481 Misty Oak Cir, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4.5,469000,66171,220,1.6%,6.6%,No,10.8,Verify,https://www.zillow.com/homes/5481-Misty-Oak-Cir-Davenport-FL-33837_rb/,,28.23291,-81.601207,"$337,053"
"7184 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,489900,66689,139,1.0%,6.3%,No,10.6,Verify,https://www.zillow.com/homes/7184-Oakmoss-Loop-Davenport-FL-33837_rb/,,28.234757,-81.599198,"$344,248"
"7384 Oakmoss Loop, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,498000,66689,137,0.9%,6.3%,No,10.6,Verify,https://www.zillow.com/homes/7384-Oakmoss-Loop-Davenport-FL-33837_rb/,2026-08-09,28.234703,-81.599816,"$352,037"
"5505 Misty Oak Cir, Davenport, FL 33837",Davenport,Verify HOA,US-27,5,4,494000,66692,135,0.9%,6.3%,No,10.8,Verify,https://www.zillow.com/homes/5505-Misty-Oak-Cir-Davenport-FL-33837_rb/,,28.232949,-81.600426,"$347,663"
